StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ConsentForm,DateofConsent,Prolific,AttentionCheck1,Rewrite1,Interpretation1,Confidence1,IsTrue1,Remove1,Rewrite2,Interpretation2,Confidence2,IsTrue2,Remove2,Rewrite3,Interpretation3,Confidence3,IsTrue3,Remove3,Rewrite4,Interpretation4,Confidence4,IsTrue4,Remove4,Rewrite5,Interpretation5,Confidence5,IsTrue5,Remove5,Rewrite6,Interpretation6,Confidence6,IsTrue6,Remove6,Rewrite7,Interpretation7,Confidence7,IsTrue7,Remove7,Rewrite8,Interpretation8,Confidence8,IsTrue8,Remove8,Rewrite9,Interpretation9,Confidence9,IsTrue9,Remove9,Rewrite10,Interpretation10,Confidence10,IsTrue10,Remove10,Rewrite11,Interpretation11,Confidence11,IsTrue11,Remove11,Rewrite12,Interpretation12,Confidence12,IsTrue12,Remove12,Rewrite13,Interpretation13,Confidence13,IsTrue13,Remove13,Rewrite14,Interpretation14,Confidence14,IsTrue14,Remove14,Rewrite15,Interpretation15,Confidence15,IsTrue15,Remove15,Rewrite16,Interpretation16,Confidence16,IsTrue16,Remove16,Rewrite17,Interpretation17,Confidence17,IsTrue17,Remove17,Rewrite18,Interpretation18,Confidence18,IsTrue18,Remove18,Rewrite19,Interpreation19,Confidence19,IsTrue19,Remove19,Rewrite20,Interpretation20,Confidence20,IsTrue20,Remove20,Police1,Police2,Police3,Gender,Age,Race,Country,NativeLanguage,ExposedtoEng,OtherLanguages,EngFrequency,PotentialConflicts,PotentialConflicts_1_TEXT,Seriousness,QuietEnvironment,Distracted,CommentFeedback,CommentFeedback,PROLIFIC_PID
2/16/2025 18:43:37,2/16/2025 18:50:49,IP Address,71.81.0.87,100,431,True,2/16/2025 18:50:49,R_1GVybVAWcIqojSB,,,,,34.895,-81.9204,anonymous,EN,I consent to do this experiment.,2/16/2025,67b0faede3fe3db420a3dd26,Interpreting the meaning of sentences,,,,,,The orchard must be maintained in order for farmers to harvest and distribute fruit for the communities food supply.,"Properly maintained orchards are always necessary for a community’s food supply. Therefore, the efforts of farmers to harvest and distribute fruit must never be disrupted.",Very confident,The efforts of farmers to harvest and distribute fruit must not be disrupted only in cases when properly maintained orchards are at least somewhat important for a community’s food supply.,Somewhat similar implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,54,White or Caucasian,USA,English,0,N/A,N/A,No,,"Yes, I did",Yes,No,NA,NA,67b0faede3fe3db420a3dd26
2/16/2025 18:43:21,2/16/2025 18:51:30,IP Address,172.56.16.88,100,489,True,2/16/2025 18:51:31,R_7cbwDg2Frw22t7s,,,,,41.923,-87.7531,anonymous,EN,I consent to do this experiment.,2/16/25,6599af7c0c80c3b946e04a97,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curators should be able to acquire and exhibit works of art so that they can be viewed by many.,"Preserved artistic masterpieces are always necessary for the transmission of cultural heritage. Therefore, the ability of curators to exhibit and safeguard it must never be undermined.",Very confident,The ability of curators to exhibit and safeguard the masterpiece must not be undermined only in cases when preserved artistic masterpieces are absolutely essential for the transmission of cultural heritage.,Somewhat different implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Male,50,White or Caucasian,USA,Envy,I was expoyto English as as I was born.,Some Spanish ,95^,No,,"Yes, I did",Yes,No,NA,NA,6599af7c0c80c3b946e04a97
2/16/2025 18:48:18,2/16/2025 18:51:40,IP Address,70.231.13.34,100,201,True,2/16/2025 18:51:40,R_1pSH2gwLNrEN4xH,,,,,33.8019,-84.3861,anonymous,EN,I consent to do this experiment.,02/16/2025,629534afc0924e49e1464589,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A fully functional lighthouse is an absolute must for safe maritime operations, guiding sailors and avoiding accidents.","Well-functioning lighthouses are always necessary for maritime safety. Therefore, the guidance of sailors to navigate and reach shore should never be neglected.",Very confident,The guidance of sailors to navigate and reach shore should not be neglected even if well-functioning lighthouses are not critical for maritime safety.,Somewhat different implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Male,38,Asian,USA,Urdu,2,"Urdu, 0
Arabic, 5",90%,No,,"Yes, I did",Yes,No,NA,NA,629534afc0924e49e1464589
2/16/2025 18:45:05,2/16/2025 18:52:07,IP Address,50.27.4.153,100,421,True,2/16/2025 18:52:07,R_6VT8dCUjONgqDRf,,,,,33.5911,-101.936,anonymous,EN,I consent to do this experiment.,02/16/2025,668525b0e1eff8d40c686ec0,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A good stock of food reserve is important for food security, so people must have access to essential supplies.","Well-supplied food reserves are always necessary for food security. Therefore, the access of individuals to essential provisions must never be denied.",Extremely confident,The access of individuals to essential provisions must not be denied even if well-supplied food reserves are not crucial for food security.,Same implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Male,35,Asian,Other,Chinese,8,NA,100%,No,,"Yes, I did",Yes,No,NA,NA,668525b0e1eff8d40c686ec0
2/16/2025 18:45:55,2/16/2025 18:52:19,IP Address,68.112.31.150,100,383,True,2/16/2025 18:52:20,R_6HbD9yzNQpCpm3c,,,,,34.5251,-82.6307,anonymous,EN,I consent to do this experiment.,02/16/2025,66f0eda58aabb19b40a60936,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,"The damn, that keeps water from flooding the area, must be properly maintained by engineers.","Structurally sound dams are always necessary for flood prevention. Therefore, the expertise of engineers to repair and reinforce it must never be impeded.",Extremely confident,The expertise of engineers to repair and reinforce the dam must not be impeded only in cases when structurally sound dams are absolutely essential for flood prevention.,Somewhat different implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,53,Black or African American,USA,English,0,None,100%,No,,"Yes, I did",Yes,No,N/A,N/A,66f0eda58aabb19b40a60936
2/16/2025 18:48:26,2/16/2025 18:52:24,IP Address,68.134.37.104,100,237,True,2/16/2025 18:52:24,R_1l8jTPdQBAdt3fX,,,,,39.2126,-76.7136,anonymous,EN,I consent to do this experiment.,2/16/2025,663e59a5d1091f0c6becbfdf,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,An organized marketplace not being curtailed is essential to economic exchange,"Properly organized marketplaces are always necessary for economic exchange. Therefore, the ability of vendors to sell and trade goods must never be curtailed.",Very confident,The ability of vendors to sell and trade goods must not be curtailed only in cases when properly organized marketplaces are absolutely essential for economic exchange.,Very similar implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Male,18,Black or African American,USA,English,0,N/A,100%,No,,"Yes, I did",Yes,No,NA,NA,663e59a5d1091f0c6becbfdf
2/16/2025 18:48:48,2/16/2025 18:52:45,IP Address,141.233.88.49,100,236,True,2/16/2025 18:52:45,R_5qfeLJLEenlx9Js,,,,,43.0757,-89.203,anonymous,EN,I consent to do this experiment.,2/16/2025,67884d2db0aaf0a3b41ef4e0,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A well calibrated telescope is necessary in order to advance astronomical research and to allow scientists to observe and document celestial bodies. ,"Well-calibrated telescopes are always necessary for advancing astronomical research. Therefore, the ability of scientists to observe and document celestial bodies must never be impeded.",Fairly confident,The ability of scientists to observe and document celestial bodies must not be impeded only in cases when well-calibrated telescopes are at least somewhat important for advancing astronomical research.,Very different implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,19,"White or Caucasian,Native Hawaiian or Other Pacific Islander",USA,English,0,0,100%,No,,"Yes, I did",No,No,NA,NA,67884d2db0aaf0a3b41ef4e0
2/16/2025 18:47:03,2/16/2025 18:52:59,IP Address,98.204.97.27,100,355,True,2/16/2025 18:52:59,R_3E0tFkJXlJHNVcQ,,,,,38.9379,-77.0859,anonymous,EN,I consent to do this experiment.,02/16/25,60fd4c6f52ed603b43aa2e57,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You must not refuse the right of individuals to seek safety in a structurally sound shelter which is necessary for refuge in extreme conditions.,"Structurally sound shelters are always necessary for refuge in extreme conditions. Therefore, the right of individuals to seek safety must never be refused.",Somewhat confident,The right of individuals to seek safety must not be refused only in cases when structurally sound shelters are absolutely essential for refuge in extreme conditions.,Somewhat different implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,33,White or Caucasian,USA,English ,0,None,100,No,,"Yes, I did",Yes,No,NA,NA,60fd4c6f52ed603b43aa2e57
2/16/2025 18:48:26,2/16/2025 18:53:15,IP Address,206.251.223.70,100,289,True,2/16/2025 18:53:16,R_5ro7uGUlDEBv573,,,,,35.7101,-86.3994,anonymous,EN,I consent to do this experiment.,2/16/2025,66aa2f349fa0ed47b7f61a46,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The preserved masterpiece must not be undermined. ,"Preserved artistic masterpieces are always necessary for the transmission of cultural heritage. Therefore, the ability of curators to exhibit and safeguard it must never be undermined.",Somewhat confident,The ability of curators to exhibit and safeguard the masterpiece must not be undermined only in cases when preserved artistic masterpieces are absolutely essential for the transmission of cultural heritage.,Somewhat similar implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,38,White or Caucasian,USA,Emglish,0,Na,100%,No,,"Yes, I did",Yes,No,Na,Na,66aa2f349fa0ed47b7f61a46
2/16/2025 18:48:21,2/16/2025 18:53:18,IP Address,97.140.153.2,100,297,True,2/16/2025 18:53:18,R_71cQ7RsAO33n4d6,,,,,35.1936,-80.6865,anonymous,EN,I consent to do this experiment.,2/16/2025,60fef47b6e61932179680009,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A thoughtfully designed garden is necessary for the preservation of rare plants, and the ability of botanists to study and cultivate species should not be impeded. ","Thoughtfully designed gardens are always necessary for the preservation of rare plants. Therefore, the ability of botanists to study and cultivate species must never be impeded.",Fairly confident,The ability of botanists to study and cultivate species must not be impeded even if thoughtfully designed gardens are not crucial for the preservation of rare plants.,Somewhat similar implications,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,29,White or Caucasian,USA,English ,0,N/a,N/a,No,,"Yes, I did",Yes,No,NA,NA,60fef47b6e61932179680009
2/16/2025 18:46:26,2/16/2025 18:53:30,IP Address,174.170.208.237,100,423,True,2/16/2025 18:53:30,R_1eQkxfDZsBkVDHj,,,,,29.0382,-95.4416,anonymous,EN,I consent to do this experiment.,2.16.2025,65c4000ffa2e6230b49ab230,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,"In order to keep the market place well organized, vendors should be able to exchange goods without restricitons.","Properly organized marketplaces are always necessary for economic exchange. Therefore, the ability of vendors to sell and trade goods must never be curtailed.",Very confident,The ability of vendors to sell and trade goods must not be curtailed even if properly organized marketplaces are not crucial for economic exchange.,Somewhat different implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,29,Black or African American,USA,english,0,none,100,No,,"Yes, I did",Yes,No,na,na,65c4000ffa2e6230b49ab230
2/16/2025 18:45:18,2/16/2025 18:53:35,IP Address,24.246.255.72,100,497,True,2/16/2025 18:53:36,R_1dovE2Nf6oQ6fAH,,,,,40.9645,-76.8844,anonymous,EN,I consent to do this experiment.,2/16/25,63d40d717721e5fa5e4cc357,Interpreting the meaning of sentences,,,,,,,,,,,Individuals must be allowed to build fires for warmth and food to avoid dying in areas with harsh climates.,"A strategically built fire is always necessary for survival in harsh climates. Therefore, the ability of individuals to generate warmth and prepare food must never be denied.",Fairly confident,The ability of individuals to generate warmth and prepare food must not be denied only in cases when a strategically built fire is absolutely essential for survival in harsh climates.,Somewhat different implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,40,White or Caucasian,USA,English,0,0,100,No,,"Yes, I did",Yes,No,NA,NA,63d40d717721e5fa5e4cc357
2/16/2025 18:50:31,2/16/2025 18:54:34,IP Address,207.183.142.81,100,242,True,2/16/2025 18:54:36,R_5CzNJIyYr10PD7X,,,,,36.1835,-94.1762,anonymous,EN,I consent to do this experiment.,02/16/2025,670d3d2b6a7e4374077e0fbe,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,"Engineering experts need to repair and reinforce a dam, they must not be impeded ","Structurally sound dams are always necessary for flood prevention. Therefore, the expertise of engineers to repair and reinforce it must never be impeded.",Very confident,The expertise of engineers to repair and reinforce the dam must not be impeded even if structurally sound dams are not crucial for flood prevention.,Neither similar nor different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Male,31,"White or Caucasian,American Indian/Native American or Alaska Native",USA,English ,0,None,100%,No,,"Yes, I did",Yes,No,NA,NA,670d3d2b6a7e4374077e0fbe
2/16/2025 18:45:02,2/16/2025 18:54:41,IP Address,68.184.205.61,100,578,True,2/16/2025 18:54:41,R_5DBXSerL2Y9Q43v,,,,,38.6142,-90.2921,anonymous,EN,I consent to do this experiment.,02/16/2025,674a60470c3db9101044cfcb,Interpreting the meaning of sentences,The right of individuals to access and maintain records for a well-preserved historical archive must not be restricted. ,The right of individuals to access and maintain records must not be restricted only in those specific cases when a well-preserved archive is necessary for historical preservation.,Slightly confident,The right of individuals to access and maintain records must not be restricted only in cases when well-preserved archives are absolutely essential for historical preservation.,Somewhat different implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,48,White or Caucasian,USA,english,0,0,100,No,,"Yes, I did",Yes,No,"a little confusing, see below",I didn't feel like I was given a choice that really fit what the sentence meant,674a60470c3db9101044cfcb
