"sentence_id","prolific_study_id","prolific_session_id","rewrite_first","start_time","device_type","user_agent","fullscreen_entered","device_self_report","captcha_response","captcha_pass","spr1_rts","spr1_mean_rt","spr1_min_rt","spr1_understood","spr2_rts","spr2_mean_rt","spr2_min_rt","spr2_understood","consent","date_of_consent","prolific_pid","attn1","attn1_pass","rewrite","addcommas","interpretation","confidence","remove","and","comma_3v2","comma_3v1","comma_2v1","distinguish","police1","police2","police3","gender","age","race","country","native_language","english_exposure_age","other_languages","english_frequency","potential_conflicts","potential_conflicts_explain","gun_control","ai_usage","seriousness","quiet_environment","distracted","feedback_procedure","feedback_other","end_time","total_duration_ms","page_timestamps","screen_width","screen_height","istrue","attn1_retry","attn1_retry_pass","source_file","subject","being","right","must","full_sentence","no_prefix_sentence"
5,"6998be54d68d58b628b0dc10","69cca88e74e624eaccb32a82","false","2026-04-01T05:09:45.860Z","desktop","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","yes",1,"q","true","460;1019;808;999;857;744;849;846;1008;822;922;967",858,460,1,"898;675;574;432;747;687;457;391;518;406;457;729",581,391,1,1,"4/1/2026","69bb280e6e28c90a72ace7c8",3,"true","A well-run weather station is needed for dangerous storms. We should not stop the access of this information to assist with preparedness.","A consistently monitored weather station, being necessary for the prediction of dangerous storms, the right of people to prepare for and respond to natural threats, must not be violated.",2,5,6,5,3,3,2,1,2,2,1,2,42,"1",1,"English","0","n/a","100%",2,NA,1,2,4,1,2,"n/a","n/a","2026-04-01T05:32:19.488Z",1355643,"[{""p"":0,""t"":1775020185877},{""p"":1,""t"":1775020219756},{""p"":2,""t"":1775020224737},{""p"":3,""t"":1775020233860},{""p"":4,""t"":1775020310637},{""p"":5,""t"":1775020323245},{""p"":6,""t"":1775020325417},{""p"":7,""t"":1775020363215},{""p"":8,""t"":1775020372092},{""p"":9,""t"":1775020374183},{""p"":10,""t"":1775020376073},{""p"":11,""t"":1775020397220},{""p"":12,""t"":1775020398729},{""p"":13,""t"":1775020400018},{""p"":14,""t"":1775020408304},{""p"":15,""t"":1775020408304},{""p"":16,""t"":1775020481154},{""p"":17,""t"":1775020481155},{""p"":18,""t"":1775020482733},{""p"":19,""t"":1775020490044},{""p"":20,""t"":1775020565995},{""p"":21,""t"":1775020694625},{""p"":22,""t"":1775020895742},{""p"":23,""t"":1775020895742},{""p"":24,""t"":1775020958892},{""p"":25,""t"":1775021047917},{""p"":26,""t"":1775021129219},{""p"":27,""t"":1775021246461},{""p"":28,""t"":1775021256312},{""p"":29,""t"":1775021292168},{""p"":30,""t"":1775021294048},{""p"":31,""t"":1775021335430},{""p"":32,""t"":1775021337099},{""p"":33,""t"":1775021344144},{""p"":34,""t"":1775021366406},{""p"":35,""t"":1775021368910},{""p"":36,""t"":1775021509374},{""p"":37,""t"":1775021514083},{""p"":38,""t"":1775021521442},{""p"":39,""t"":1775021524979},{""p"":40,""t"":1775021532545},{""p"":41,""t"":1775021538106}]",1440,900,NA,NA,NA,"data_SA_E1A_69bb280e6e28c90a72ace7c8_SESSION_2026-04-01_00h32.19.492.csv","A consistently monitored weather station","being necessary for the prediction of dangerous storms","the right of people to prepare for and respond to natural threats","must not be violated","A consistently monitored weather station, being necessary for the prediction of dangerous storms, the right of people to prepare for and respond to natural threats, must not be violated.","The right of people to prepare for and respond to natural threats, must not be violated."
5,"6998be54d68d58b628b0dc10","69cca8cb711620a549861ed6","false","2026-04-01T05:10:49.282Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0","yes",1,"q","true","2336;1947;1165;1628;821;535;1397;731;659;791;669;4232",1409,535,1,"1006;10547;523;478;633;664;444;489;456;454;491;11393",2298,444,1,1,"4/1/2026","5e8f53644b34ff22d9b3a1c5",3,"true","Consistently monitored weather stations, which are necessary for the prediction of dangerous storms must be maintained so as not to violate the right of the people, who rely on them.","A consistently monitored weather station, being necessary for the prediction of dangerous storms, the right of people to prepare for and respond to natural threats must not be violated.",2,7,2,1,1,1,2,1,2,2,1,1,43,"1",1,"English","1","None.","100%",2,NA,2,2,4,1,2,NA,NA,"2026-04-01T05:27:07.844Z",980305,"[{""p"":0,""t"":1775020249555},{""p"":1,""t"":1775020270201},{""p"":2,""t"":1775020423222},{""p"":3,""t"":1775020429343},{""p"":4,""t"":1775020448240},{""p"":5,""t"":1775020469500},{""p"":6,""t"":1775020472523},{""p"":7,""t"":1775020504257},{""p"":8,""t"":1775020539191},{""p"":9,""t"":1775020542222},{""p"":10,""t"":1775020549472},{""p"":11,""t"":1775020559209},{""p"":12,""t"":1775020564286},{""p"":13,""t"":1775020569581},{""p"":14,""t"":1775020578538},{""p"":15,""t"":1775020578538},{""p"":16,""t"":1775020588725},{""p"":17,""t"":1775020588725},{""p"":18,""t"":1775020611619},{""p"":19,""t"":1775020692493},{""p"":20,""t"":1775020750505},{""p"":21,""t"":1775020870274},{""p"":22,""t"":1775020928511},{""p"":23,""t"":1775020928511},{""p"":24,""t"":1775020959507},{""p"":25,""t"":1775020969537},{""p"":26,""t"":1775021037841},{""p"":27,""t"":1775021067654},{""p"":28,""t"":1775021082204},{""p"":29,""t"":1775021105911},{""p"":30,""t"":1775021108080},{""p"":31,""t"":1775021127670},{""p"":32,""t"":1775021129580},{""p"":33,""t"":1775021136662},{""p"":34,""t"":1775021139794},{""p"":35,""t"":1775021142430},{""p"":36,""t"":1775021184031},{""p"":37,""t"":1775021191682},{""p"":38,""t"":1775021206675},{""p"":39,""t"":1775021209621},{""p"":40,""t"":1775021217136},{""p"":41,""t"":1775021225145}]",1536,864,NA,NA,NA,"data_SA_E1A_5e8f53644b34ff22d9b3a1c5_SESSION_2026-04-01_01h27.07.861.csv","A consistently monitored weather station","being necessary for the prediction of dangerous storms","the right of people to prepare for and respond to natural threats","must not be violated","A consistently monitored weather station, being necessary for the prediction of dangerous storms, the right of people to prepare for and respond to natural threats, must not be violated.","The right of people to prepare for and respond to natural threats, must not be violated."
5,"6998be54d68d58b628b0dc10","699a08dc72f5d1a65d5db7c4","false","2026-02-21T19:34:59.305Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","yes",1,"q","true","704;848;592;1024;673;656;575;1185;753;608;592;768",748,575,1,"1281;736;608;480;529;656;561;464;464;513;496;496",607,464,1,1,"2/21/2026","628ecc32276d54517f4c004d",3,"true","The people's right to a consistently monitored weather station, necessary to the preparation & response of natural, threats must not be violated.","A consistently monitored weather station being necessary for the prediction of dangerous storms, right of people to prepare for and respond to natural threats, must not be violated.",2,7,1,1,1,2,1,2,2,2,1,1,28,"2",1,"english","0","0","100",2,NA,2,2,4,1,2,NA,NA,"2026-02-21T19:47:42.054Z",763869,"[{""p"":0,""t"":1771702499314},{""p"":1,""t"":1771702506374},{""p"":2,""t"":1771702510802},{""p"":3,""t"":1771702518043},{""p"":4,""t"":1771702578412},{""p"":5,""t"":1771702581533},{""p"":6,""t"":1771702595024},{""p"":7,""t"":1771702597968},{""p"":8,""t"":1771702600592},{""p"":9,""t"":1771702608402},{""p"":10,""t"":1771702609962},{""p"":11,""t"":1771702613315},{""p"":12,""t"":1771702630694},{""p"":13,""t"":1771702630694},{""p"":14,""t"":1771702636183},{""p"":15,""t"":1771702636183},{""p"":16,""t"":1771702637806},{""p"":17,""t"":1771702668276},{""p"":18,""t"":1771702744640},{""p"":19,""t"":1771702939456},{""p"":20,""t"":1771702964925},{""p"":21,""t"":1771702964925},{""p"":22,""t"":1771702992073},{""p"":23,""t"":1771703015140},{""p"":24,""t"":1771703052427},{""p"":25,""t"":1771703076054},{""p"":26,""t"":1771703101867},{""p"":27,""t"":1771703136641},{""p"":28,""t"":1771703138185},{""p"":29,""t"":1771703183097},{""p"":30,""t"":1771703185384},{""p"":31,""t"":1771703191097},{""p"":32,""t"":1771703193507},{""p"":33,""t"":1771703196355},{""p"":34,""t"":1771703217549},{""p"":35,""t"":1771703222231},{""p"":36,""t"":1771703229336},{""p"":37,""t"":1771703232096},{""p"":38,""t"":1771703242186},{""p"":39,""t"":1771703260597}]",1920,1080,NA,NA,NA,"data_SA_E1A_628ecc32276d54517f4c004d_SESSION_2026-02-21_13h47.42.54.csv","A consistently monitored weather station","being necessary for the prediction of dangerous storms","the right of people to prepare for and respond to natural threats","must not be violated","A consistently monitored weather station, being necessary for the prediction of dangerous storms, the right of people to prepare for and respond to natural threats, must not be violated.","The right of people to prepare for and respond to natural threats, must not be violated."
5,"6998be54d68d58b628b0dc10","69cca8e4f8dda636537cf236","true","2026-04-01T05:11:13.324Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","yes",1,"q","true","1276;1081;941;860;810;676;1282;719;693;633;572;1419",914,572,1,"591;626;507;635;789;585;812;629;542;541;516;1169",662,507,1,1,"3/31/2026","5cab69f77ea4a700019a87dc",3,"true","A weather station which is consistently monitored is necessary  to prepare people for natural disasters.","A consistently monitored weather station, being necessary for the prediction of dangerous storms, the right of people to prepare for and respond to natural threats must not be violated.",2,5,6,2,2,2,1,2,2,2,1,2,64,"1",1,"English","o","Spanish - 0 - use weekly, Italian - 20 - use monthly","98",2,NA,1,2,4,1,2,NA,"Low paying for the amount of work involved.","2026-04-01T05:20:57.161Z",585235,"[{""p"":0,""t"":1775020273601},{""p"":1,""t"":1775020279464},{""p"":2,""t"":1775020292590},{""p"":3,""t"":1775020301806},{""p"":4,""t"":1775020324720},{""p"":5,""t"":1775020340118},{""p"":6,""t"":1775020342890},{""p"":7,""t"":1775020352934},{""p"":8,""t"":1775020364186},{""p"":9,""t"":1775020366713},{""p"":10,""t"":1775020370398},{""p"":11,""t"":1775020380280},{""p"":12,""t"":1775020382518},{""p"":13,""t"":1775020384342},{""p"":14,""t"":1775020392568},{""p"":15,""t"":1775020392568},{""p"":16,""t"":1775020399612},{""p"":17,""t"":1775020399612},{""p"":18,""t"":1775020402617},{""p"":19,""t"":1775020419890},{""p"":20,""t"":1775020458637},{""p"":21,""t"":1775020497461},{""p"":22,""t"":1775020514709},{""p"":23,""t"":1775020514709},{""p"":24,""t"":1775020536872},{""p"":25,""t"":1775020544729},{""p"":26,""t"":1775020571231},{""p"":27,""t"":1775020584158},{""p"":28,""t"":1775020603149},{""p"":29,""t"":1775020621951},{""p"":30,""t"":1775020623956},{""p"":31,""t"":1775020656381},{""p"":32,""t"":1775020657924},{""p"":33,""t"":1775020664699},{""p"":34,""t"":1775020669143},{""p"":35,""t"":1775020672162},{""p"":36,""t"":1775020804827},{""p"":37,""t"":1775020810337},{""p"":38,""t"":1775020819312},{""p"":39,""t"":1775020823069},{""p"":40,""t"":1775020833757},{""p"":41,""t"":1775020855394}]",1366,768,NA,NA,NA,"data_SA_E1A_5cab69f77ea4a700019a87dc_SESSION_2026-03-31_22h20.57.165.csv","A consistently monitored weather station","being necessary for the prediction of dangerous storms","the right of people to prepare for and respond to natural threats","must not be violated","A consistently monitored weather station, being necessary for the prediction of dangerous storms, the right of people to prepare for and respond to natural threats, must not be violated.","The right of people to prepare for and respond to natural threats, must not be violated."
5,"6998be54d68d58b628b0dc10","699a08d67815a8bf8bff40ab","false","2026-02-21T19:35:36.335Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","yes",1,"q","true","16977;6861;1526;1270;1094;771;675;548;623;548;632;1206",2728,548,1,"892;496;557;533;487;547;471;473;487;464;487;1216",593,464,1,1,"2/21/2026","6949ca3d2fa32d8101dea6a7",3,"true","We need a weather station to predict dangerous storms. Because of this, people must have the right to get ready and deal with natural disasters.","A consistently monitored weather station, being necessary for the prediction of dangerous storms, the right of people to prepare for and respond to natural threats must not be violated.",2,5,3,4,1,2,3,2,2,2,1,1,24,"1",1,"english","0",NA,NA,2,NA,2,2,4,1,2,NA,NA,"2026-02-21T19:47:45.795Z",730792,"[{""p"":0,""t"":1771702536359},{""p"":1,""t"":1771702540819},{""p"":2,""t"":1771702556268},{""p"":3,""t"":1771702562689},{""p"":4,""t"":1771702619626},{""p"":5,""t"":1771702633888},{""p"":6,""t"":1771702659578},{""p"":7,""t"":1771702662149},{""p"":8,""t"":1771702668456},{""p"":9,""t"":1771702677582},{""p"":10,""t"":1771702679711},{""p"":11,""t"":1771702681297},{""p"":12,""t"":1771702690098},{""p"":13,""t"":1771702690098},{""p"":14,""t"":1771702702809},{""p"":15,""t"":1771702702809},{""p"":16,""t"":1771702704282},{""p"":17,""t"":1771702724630},{""p"":18,""t"":1771702846177},{""p"":19,""t"":1771702911234},{""p"":20,""t"":1771702955496},{""p"":21,""t"":1771702955496},{""p"":22,""t"":1771702991853},{""p"":23,""t"":1771703014774},{""p"":24,""t"":1771703029139},{""p"":25,""t"":1771703090406},{""p"":26,""t"":1771703116491},{""p"":27,""t"":1771703141224},{""p"":28,""t"":1771703143176},{""p"":29,""t"":1771703176994},{""p"":30,""t"":1771703179946},{""p"":31,""t"":1771703185655},{""p"":32,""t"":1771703188835},{""p"":33,""t"":1771703192184},{""p"":34,""t"":1771703212147},{""p"":35,""t"":1771703215503},{""p"":36,""t"":1771703246434},{""p"":37,""t"":1771703250549},{""p"":38,""t"":1771703258556},{""p"":39,""t"":1771703264779}]",1366,768,NA,NA,NA,"data_SA_E1A_6949ca3d2fa32d8101dea6a7_SESSION_2026-02-21_14h47.45.800.csv","A consistently monitored weather station","being necessary for the prediction of dangerous storms","the right of people to prepare for and respond to natural threats","must not be violated","A consistently monitored weather station, being necessary for the prediction of dangerous storms, the right of people to prepare for and respond to natural threats, must not be violated.","The right of people to prepare for and respond to natural threats, must not be violated."
6,"6998be54d68d58b628b0dc10","69cca99bd8124aa3b871d401","true","2026-04-01T05:14:08.037Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0","yes",1,"q","true","334;689;491;572;600;422;620;587;607;524;669;671",566,334,1,"468;551;506;443;624;433;438;436;459;472;534;632",500,433,1,1,"4/1/2026","6632ed07883d9dc97c9c7ac7",3,"true","As a dam to protect from rising water is like the right of people to defend their land must not be taken away.","A structurally sound dam, being necessary for protection, from rising waters the right of people to defend their land from flood must not be revoked.",1,4,4,4,2,3,2,2,2,2,2,2,36,"1",1,"english","0",NA,"100",2,NA,1,2,4,1,2,NA,NA,"2026-04-01T05:19:59.254Z",352415,"[{""p"":0,""t"":1775020448066},{""p"":1,""t"":1775020450382},{""p"":2,""t"":1775020453813},{""p"":3,""t"":1775020457342},{""p"":4,""t"":1775020467598},{""p"":5,""t"":1775020478942},{""p"":6,""t"":1775020481366},{""p"":7,""t"":1775020490445},{""p"":8,""t"":1775020498285},{""p"":9,""t"":1775020500365},{""p"":10,""t"":1775020503309},{""p"":11,""t"":1775020506213},{""p"":12,""t"":1775020508630},{""p"":13,""t"":1775020510190},{""p"":14,""t"":1775020519510},{""p"":15,""t"":1775020519510},{""p"":16,""t"":1775020524805},{""p"":17,""t"":1775020524805},{""p"":18,""t"":1775020526014},{""p"":19,""t"":1775020537485},{""p"":20,""t"":1775020586789},{""p"":21,""t"":1775020633109},{""p"":22,""t"":1775020642742},{""p"":23,""t"":1775020650670},{""p"":24,""t"":1775020658381},{""p"":25,""t"":1775020665886},{""p"":26,""t"":1775020683974},{""p"":27,""t"":1775020692862},{""p"":28,""t"":1775020707421},{""p"":29,""t"":1775020716645},{""p"":30,""t"":1775020717974},{""p"":31,""t"":1775020732006},{""p"":32,""t"":1775020733349},{""p"":33,""t"":1775020736862},{""p"":34,""t"":1775020738974},{""p"":35,""t"":1775020740781},{""p"":36,""t"":1775020767501},{""p"":37,""t"":1775020770765},{""p"":38,""t"":1775020774669},{""p"":39,""t"":1775020776821},{""p"":40,""t"":1775020788501},{""p"":41,""t"":1775020798045}]",1366,768,1,NA,NA,"data_SA_E1A_6632ed07883d9dc97c9c7ac7_SESSION_2026-04-01_00h19.59.256.csv","A structurally sound dam","being necessary for protection from rising waters","the right of people to defend their land from flood","must not be revoked","A structurally sound dam, being necessary for protection from rising waters, the right of people to defend their land from flood, must not be revoked.","The right of people to defend their land from flood, must not be revoked."
6,"6998be54d68d58b628b0dc10","69cca8f0d303909b60938be9","false","2026-04-01T05:12:08.330Z","desktop","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","yes",1,"q","true","470;533;472;383;560;445;479;1729;535;498;740;1270",676,383,1,"672;445;497;467;622;479;431;392;379;470;996;731",548,379,1,1,"3/31/2026","699f8c2be613af5932f0aa8f",3,"true","A structurally sound dam is necessary for protection from rising waters, which relates to the right of people to defend their land from flooding. Both of these things together are essential and must not be revoked from some unknown entity that is trying to revoke them.","A structurally sound dam, being necessary for protection from rising waters, the right of people to defend their land from flood, must not be revoked.",1,6,3,2,2,2,2,2,2,2,1,1,30,"1;4",1,"english","0","none","100%",2,NA,1,2,4,1,2,"it was unclear to add the commas back in. Wasn't sure if I should add them in where I thought they go or remember where they were",NA,"2026-04-01T05:21:22.308Z",555262,"[{""p"":0,""t"":1775020328335},{""p"":1,""t"":1775020332294},{""p"":2,""t"":1775020346828},{""p"":3,""t"":1775020350228},{""p"":4,""t"":1775020416696},{""p"":5,""t"":1775020426779},{""p"":6,""t"":1775020428629},{""p"":7,""t"":1775020435046},{""p"":8,""t"":1775020443330},{""p"":9,""t"":1775020444996},{""p"":10,""t"":1775020447446},{""p"":11,""t"":1775020452047},{""p"":12,""t"":1775020453380},{""p"":13,""t"":1775020454597},{""p"":14,""t"":1775020468614},{""p"":15,""t"":1775020468614},{""p"":16,""t"":1775020473363},{""p"":17,""t"":1775020473363},{""p"":18,""t"":1775020474347},{""p"":19,""t"":1775020489664},{""p"":20,""t"":1775020544399},{""p"":21,""t"":1775020605332},{""p"":22,""t"":1775020651785},{""p"":23,""t"":1775020688419},{""p"":24,""t"":1775020707153},{""p"":25,""t"":1775020722820},{""p"":26,""t"":1775020745354},{""p"":27,""t"":1775020760538},{""p"":28,""t"":1775020768637},{""p"":29,""t"":1775020781722},{""p"":30,""t"":1775020782988},{""p"":31,""t"":1775020806405},{""p"":32,""t"":1775020808205},{""p"":33,""t"":1775020811837},{""p"":34,""t"":1775020816338},{""p"":35,""t"":1775020818637},{""p"":36,""t"":1775020839854},{""p"":37,""t"":1775020843206},{""p"":38,""t"":1775020847773},{""p"":39,""t"":1775020850540},{""p"":40,""t"":1775020857790},{""p"":41,""t"":1775020881038}]",1280,800,3,NA,NA,"data_SA_E1A_699f8c2be613af5932f0aa8f_SESSION_2026-03-31_22h21.22.310.csv","A structurally sound dam","being necessary for protection from rising waters","the right of people to defend their land from flood","must not be revoked","A structurally sound dam, being necessary for protection from rising waters, the right of people to defend their land from flood, must not be revoked.","The right of people to defend their land from flood, must not be revoked."
6,"6998be54d68d58b628b0dc10","699a14b1dfc3df3b3623171c","true","2026-02-21T20:27:48.174Z","desktop","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","yes",1,"q","true","5642;1184;725;558;431;414;425;569;424;473;469;463",981,414,1,"1808;567;649;459;454;479;517;378;428;399;366;457",580,366,1,1,"2/21/2026","652d8a4cd08c6435db58fd9b",3,"true","A dam must not be taken away from the people","A structurally sound dam, being necessary for protection from rising waters the right of people to defend their land from flood, must not be revoked.",2,6,2,2,2,2,2,2,2,2,2,2,37,"1",1,"english","0","0","100",2,NA,3,2,4,1,2,"na","interesting survey","2026-02-21T20:34:08.792Z",381678,"[{""p"":0,""t"":1771705668196},{""p"":1,""t"":1771705671024},{""p"":2,""t"":1771705674223},{""p"":3,""t"":1771705677041},{""p"":4,""t"":1771705691524},{""p"":5,""t"":1771705693858},{""p"":6,""t"":1771705702990},{""p"":7,""t"":1771705704758},{""p"":8,""t"":1771705707007},{""p"":9,""t"":1771705714141},{""p"":10,""t"":1771705715658},{""p"":11,""t"":1771705716924},{""p"":12,""t"":1771705724675},{""p"":13,""t"":1771705724675},{""p"":14,""t"":1771705734358},{""p"":15,""t"":1771705734358},{""p"":16,""t"":1771705735674},{""p"":17,""t"":1771705745891},{""p"":18,""t"":1771705763674},{""p"":19,""t"":1771705784590},{""p"":20,""t"":1771705800441},{""p"":21,""t"":1771705800441},{""p"":22,""t"":1771705813558},{""p"":23,""t"":1771705821558},{""p"":24,""t"":1771705837808},{""p"":25,""t"":1771705870141},{""p"":26,""t"":1771705882524},{""p"":27,""t"":1771705913008},{""p"":28,""t"":1771705914875},{""p"":29,""t"":1771705951842},{""p"":30,""t"":1771705953291},{""p"":31,""t"":1771705957657},{""p"":32,""t"":1771705960576},{""p"":33,""t"":1771705963308},{""p"":34,""t"":1771705991442},{""p"":35,""t"":1771705996191},{""p"":36,""t"":1771706007191},{""p"":37,""t"":1771706010825},{""p"":38,""t"":1771706038125},{""p"":39,""t"":1771706047473}]",1440,900,NA,NA,NA,"data_SA_E1A_652d8a4cd08c6435db58fd9b_SESSION_2026-02-21_14h34.08.794.csv","A structurally sound dam","being necessary for protection from rising waters","the right of people to defend their land from flood","must not be revoked","A structurally sound dam, being necessary for protection from rising waters, the right of people to defend their land from flood, must not be revoked.","The right of people to defend their land from flood, must not be revoked."
7,"6998be54d68d58b628b0dc10","699a0a4571660abdfc3ebc82","true","2026-02-21T19:41:12.095Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","yes",1,"q","true","992;565;300;396;349;230;296;390;426;328;355;360",416,230,1,"585;479;629;345;334;335;355;315;259;275;340;319",381,259,1,1,"2/21/2026","558f226dfdf99b6ebd36218a",3,"true","A tended field must not be infringed, namely, necessity for seasonal harvest and rights of cultivators.","A tended field, being necessary for seasonal harvest, the right of people to cultivate and work, must not be infringed.",2,5,3,1,2,3,3,2,2,2,1,1,46,"1",1,"English","0","Spanish, 15, rarely speak, not fluent, B2 to low C1 level.","100",2,NA,3,2,4,1,2,NA,NA,"2026-02-21T19:53:52.660Z",761841,"[{""p"":0,""t"":1771702872118},{""p"":1,""t"":1771702876456},{""p"":2,""t"":1771702885063},{""p"":3,""t"":1771702895359},{""p"":4,""t"":1771702950361},{""p"":5,""t"":1771702953375},{""p"":6,""t"":1771702963921},{""p"":7,""t"":1771702966139},{""p"":8,""t"":1771702968693},{""p"":9,""t"":1771703001345},{""p"":10,""t"":1771703004477},{""p"":11,""t"":1771703024533},{""p"":12,""t"":1771703032397},{""p"":13,""t"":1771703032397},{""p"":14,""t"":1771703040837},{""p"":15,""t"":1771703040837},{""p"":16,""t"":1771703043117},{""p"":17,""t"":1771703065143},{""p"":18,""t"":1771703221243},{""p"":19,""t"":1771703261913},{""p"":20,""t"":1771703284819},{""p"":21,""t"":1771703284819},{""p"":22,""t"":1771703331515},{""p"":23,""t"":1771703361849},{""p"":24,""t"":1771703399759},{""p"":25,""t"":1771703423001},{""p"":26,""t"":1771703440357},{""p"":27,""t"":1771703464282},{""p"":28,""t"":1771703466254},{""p"":29,""t"":1771703499837},{""p"":30,""t"":1771703501934},{""p"":31,""t"":1771703506904},{""p"":32,""t"":1771703509666},{""p"":33,""t"":1771703512466},{""p"":34,""t"":1771703577841},{""p"":35,""t"":1771703586588},{""p"":36,""t"":1771703592813},{""p"":37,""t"":1771703596804},{""p"":38,""t"":1771703609092},{""p"":39,""t"":1771703621200}]",1366,768,NA,NA,NA,"data_SA_E1A_558f226dfdf99b6ebd36218a_SESSION_2026-02-21_14h53.52.662.csv","A tended field","being necessary for seasonal harvest","the right of people to cultivate and work the land","must not be infringed","A tended field, being necessary for seasonal harvest, the right of people to cultivate and work the land, must not be infringed.","The right of people to cultivate and work the land, must not be infringed."
7,"6998be54d68d58b628b0dc10","699a08c70ee1a18a79684228","false","2026-02-21T19:34:39.009Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","yes",1,"q","true","6616;1796;2348;15362;1332;842;757;1635;1004;817;1172;3071",3063,757,1,"5108;1813;1118;705;1125;840;653;568;615;654;763;723",1224,568,1,1,"2/21/2026","66059fee43339868e5634461",3,"true","A land allocated for agriculture should not be used for other purposes.","A tended field being necessary for seasonal harvest, the right of people to cultivate and work the land, must not be infringed.",2,6,3,5,2,2,2,2,2,2,1,1,53,"1",7,"Turkish","11","Turkish (learned from birth).","85%",2,NA,1,2,4,1,2,"NA.","NA.","2026-02-21T19:46:00.029Z",682337,"[{""p"":0,""t"":1771702479009},{""p"":1,""t"":1771702488936},{""p"":2,""t"":1771702499653},{""p"":3,""t"":1771702506572},{""p"":4,""t"":1771702548127},{""p"":5,""t"":1771702553143},{""p"":6,""t"":1771702574036},{""p"":7,""t"":1771702577475},{""p"":8,""t"":1771702581365},{""p"":9,""t"":1771702583959},{""p"":10,""t"":1771702585419},{""p"":11,""t"":1771702588054},{""p"":12,""t"":1771702597453},{""p"":13,""t"":1771702597453},{""p"":14,""t"":1771702606217},{""p"":15,""t"":1771702606217},{""p"":16,""t"":1771702607497},{""p"":17,""t"":1771702651583},{""p"":18,""t"":1771702714425},{""p"":19,""t"":1771702795145},{""p"":20,""t"":1771702812676},{""p"":21,""t"":1771702812676},{""p"":22,""t"":1771702833599},{""p"":23,""t"":1771702857513},{""p"":24,""t"":1771702926981},{""p"":25,""t"":1771702941549},{""p"":26,""t"":1771702955952},{""p"":27,""t"":1771702973487},{""p"":28,""t"":1771702975117},{""p"":29,""t"":1771703022098},{""p"":30,""t"":1771703024607},{""p"":31,""t"":1771703028807},{""p"":32,""t"":1771703031172},{""p"":33,""t"":1771703038354},{""p"":34,""t"":1771703091484},{""p"":35,""t"":1771703097665},{""p"":36,""t"":1771703104853},{""p"":37,""t"":1771703107781},{""p"":38,""t"":1771703115581},{""p"":39,""t"":1771703128548}]",1920,1080,NA,NA,NA,"data_SA_E1A_66059fee43339868e5634461_SESSION_2026-02-21_11h46.00.30.csv","A tended field","being necessary for seasonal harvest","the right of people to cultivate and work the land","must not be infringed","A tended field, being necessary for seasonal harvest, the right of people to cultivate and work the land, must not be infringed.","The right of people to cultivate and work the land, must not be infringed."
